,company_name,period_end,Assets,EBITDA,Net Worth,Period Ended,Profit After Tax,Reserves and Surplus,Total Borrowing,Total Income
59,Globe Civil Projects Ltd. IPO,2025,374.60,39.30,99.83,31 Dec 2024,17.79,56.87,137.97,256.74
60,HDB Financial Services Ltd. IPO,2023,70050.39,6251.16,10436.09,31 Mar 2023,1959.35,10645.57,54865.31,12402.88
61,HDB Financial Services Ltd. IPO,2024,92556.51,8314.13,12802.76,31 Mar 2024,2460.84,12949.63,74330.67,14171.12
62,HDB Financial Services Ltd. IPO,2025,108663.29,9512.37,14936.50,31 Mar 2025,2175.92,15023.97,87397.77,16300.28
63,Hexaware Technologies Ltd. IPO,2023,7021.2,,4294,30 Sep 2023,804.8,4234.7,,7763.1
64,Hexaware Technologies Ltd. IPO,2024,7202.1,,4230.9,31 Dec 2023,997.6,4171.6,,10389.1
65,Hexaware Technologies Ltd. IPO,2025,8594.2,,4876,30 Sep 2024,853.3,4816.7,,8871.3
66,Highway Infrastructure Ltd. IPO,2023,156.59,27.69,74.81,31 Mar 2023,13.80,64.44,63.36,456.83
67,Highway Infrastructure Ltd. IPO,2024,202.63,38.44,100.19,31 Mar 2024,21.41,83.49,69.62,576.58
68,Highway Infrastructure Ltd. IPO,2025,231.56,31.32,117.72,31 Mar 2025,22.40,83.90,71.82,504.48
69,Indiqube Spaces Ltd. IPO,2023,2969.32,258.23,-308.10,31 Mar 2023,-198.11,-308.28,623.16,601.28
70,Indiqube Spaces Ltd. IPO,2024,3667.91,263.42,130.63,31 Mar 2024,-341.51,129.44,164.02,867.66
71,Indiqube Spaces Ltd. IPO,2025,4685.12,660.19,-3.11,31 Mar 2025,-139.62,-23.30,343.96,1102.93
72,Indogulf Cropsciences Ltd. IPO,2023,517.51,49.04,203.25,31 Mar 2023,22.42,179.60,189.22,552.19
73,Indogulf Cropsciences Ltd. IPO,2024,542.25,55.74,231.65,31 Mar 2024,28.23,208.01,154.56,555.79
74,Indogulf Cropsciences Ltd. IPO,2025,597.81,44.78,265.43,31 Dec 2024,21.68,216.64,206.30,466.31
75,JSW Cement Ltd. IPO,2023,10218.61,826.97,2292.10,31 Mar 2023,104.04,1296.66,5421.54,5982.21
76,JSW Cement Ltd. IPO,2024,11318.91,1035.66,2464.68,31 Mar 2024,62.01,1399.06,5835.76,6114.60
77,JSW Cement Ltd. IPO,2025,12003.94,815.32,2352.55,31 Mar 2025,-163.77,1287.31,6166.55,5914.67
78,Kalpataru Ltd. IPO,2023,12540.77,-49.67,1221.89,31 Mar 2023,-229.43,,9679.64,3716.61
79,Kalpataru Ltd. IPO,2024,13879.43,-78.01,1028.23,31 Mar 2024,-116.51,,10688.31,2029.94
80,Kalpataru Ltd. IPO,2025,15562.35,101.67,1579.54,31 Dec 2024,5.51,,11056.40,1699.49
81,Laxmi Dental Ltd. IPO,2023,96.54,,19.48,31 Mar 2023,-4.16,,31.44,163.84
82,Laxmi Dental Ltd. IPO,2024,134.52,,44.57,31 Mar 2024,25.23,,42.03,195.26
83,Laxmi Dental Ltd. IPO,2025,158.22,,67.09,30 Sep 2024,22.74,,40.91,117.9
84,Laxmi India Finance Ltd. IPO,2023,778.71,85.96,152.33,31 Mar 2023,15.97,134.23,615.49,130.67
85,Laxmi India Finance Ltd. IPO,2024,984.85,114.59,201.22,31 Mar 2024,22.47,181.87,766.68,175.02
86,Laxmi India Finance Ltd. IPO,2025,1412.52,163.88,257.47,31 Mar 2025,36.01,236.99,1137.06,248.04
87,M&B Engineering Ltd. IPO,2023,558.79,66.43,180.51,31 Mar 2023,32.89,160.51,148.75,889.00
88,M&B Engineering Ltd. IPO,2024,633.11,79.62,233.03,31 Mar 2024,45.63,183.03,204.84,808.26
89,M&B Engineering Ltd. IPO,2025,849.21,126.38,306.53,31 Mar 2025,77.05,256.53,186.13,996.89
90,Mangal Electrical Industries Ltd. IPO,2023,221.26,44.42,93.97,31 Mar 2023,24.74,,96.64,357.81
91,Mangal Electrical Industries Ltd. IPO,2024,246.54,42.63,114.99,31 Mar 2024,20.95,,92.12,452.13
92,Mangal Electrical Industries Ltd. IPO,2025,366.46,81.84,162.16,31 Mar 2025,47.31,,149.12,551.39
93,National Securities Depository Ltd. IPO,2023,2093.48,328.60,1428.86,31 Mar 2023,234.81,199.08,,1099.81
94,National Securities Depository Ltd. IPO,2024,2257.74,381.13,1684.10,31 Mar 2024,275.45,216.32,,1365.71
95,National Securities Depository Ltd. IPO,2025,2984.84,492.94,2005.34,31 Mar 2025,343.12,232.31,,1535.19
96,Oswal Pumps Ltd. IPO,2023,252.30,57.82,59.97,31 Mar 2023,34.20,73.22,59.28,387.47
97,Oswal Pumps Ltd. IPO,2024,511.28,150.12,160.17,31 Mar 2024,97.67,173.42,75.42,761.23
98,Oswal Pumps Ltd. IPO,2025,1096.01,321.01,378.80,31 Dec 2024,216.71,387.96,346.30,1067.34
99,Patel Retail Ltd. IPO,2023,303.12,43.24,71.87,31 Mar 2023,16.38,,182.81,1019.80
100,Patel Retail Ltd. IPO,2024,333.02,55.84,94.40,31 Mar 2024,22.53,,185.75,817.71
101,Patel Retail Ltd. IPO,2025,382.86,62.43,134.57,31 Mar 2025,25.28,,180.54,825.99
102,Prostarm Info Systems Ltd. IPO,2023,155.39,29.15,61.00,31 Mar 2023,19.35,18.13,24.85,232.35
103,Prostarm Info Systems Ltd. IPO,2024,203.05,36.62,84.30,31 Mar 2024,22.80,41.42,43.47,259.23
104,Prostarm Info Systems Ltd. IPO,2025,230.04,35.89,107.24,31 Dec 2024,22.11,64.37,60.37,270.27
105,Quadrant Future Tek Ltd. IPO,2023,118.82,,29.42,31 Mar 2023,13.9,19.42,74,152.95
106,Quadrant Future Tek Ltd. IPO,2024,142.82,,44.11,31 Mar 2024,14.71,34.11,81.61,151.82
107,Quadrant Future Tek Ltd. IPO,2025,149.66,,34.18,30 Sep 2024,-12.11,4.18,98.01,65.14
108,Quality Power Electrical Equipments Ltd. IPO,2023,312.24,,175.66,31 Mar 2023,39.89,153.86,10.61,273.55
109,Quality Power Electrical Equipments Ltd. IPO,2024,358.88,,190.33,31 Mar 2024,55.47,162.56,38.28,331.4
110,Quality Power Electrical Equipments Ltd. IPO,2025,399.64,,238.63,30 Sep 2024,50.08,150.43,25.55,182.72
111,Regaal Resources Ltd. IPO,2023,371.52,40.67,104.41,31 Mar 2023,16.76,102.92,188.93,488.67
112,Regaal Resources Ltd. IPO,2024,585.97,56.37,126.61,31 Mar 2024,22.14,125.12,357.21,601.08
113,Regaal Resources Ltd. IPO,2025,860.27,112.79,235.41,31 Mar 2025,47.67,202.44,507.05,917.58
114,Sambhv Steel Tubes Ltd. IPO,2023,552.14,117.30,210.40,31 Mar 2023,60.38,190.31,282.77,939.00
115,Sambhv Steel Tubes Ltd. IPO,2024,940.13,159.87,438.28,31 Mar 2024,82.44,197.28,346.88,1289.38
116,Sambhv Steel Tubes Ltd. IPO,2025,1411.82,106.37,478.46,31 Dec 2024,40.69,,619.15,1018.81
117,Schloss Bangalore Ltd. IPO,2023,5875.54,,-2511.96,31 Mar 2023,-61.68,-2582.80,3696.18,903.27
118,Schloss Bangalore Ltd. IPO,2024,7061.88,,-2825.72,31 Mar 2024,-2.13,-2906.20,4242.18,1226.50
119,Schloss Bangalore Ltd. IPO,2025,8266.16,,3604.99,31 Mar 2025,47.66,3280.43,3908.75,1406.56
120,Scoda Tubes Ltd. IPO,2023,238.26,34.78,45.31,31 Mar 2023,10.34,44.03,139.31,307.79
121,Scoda Tubes Ltd. IPO,2024,330.42,58.79,63.61,31 Mar 2024,18.30,62.33,202.66,402.49
122,Scoda Tubes Ltd. IPO,2025,428.49,60.63,143.55,31 Dec 2024,24.91,99.35,202.16,363.48
123,Shanti Gold International Ltd. IPO,2023,256.88,45.57,69.81,31 Mar 2023,19.82,,165.34,682.28
124,Shanti Gold International Ltd. IPO,2024,325.40,53.45,96.67,31 Mar 2024,26.87,,210.68,715.04
125,Shanti Gold International Ltd. IPO,2025,419.83,97.71,152.37,31 Mar 2025,55.84,,233.00,1112.47
126,Shreeji Shipping Global Ltd. IPO,2023,600.92,188.71,255.81,31 Mar 2023,118.89,255.71,175.45,827.33
127,Shreeji Shipping Global Ltd. IPO,2024,610.65,197.89,315.18,31 Mar 2024,124.51,315.08,158.88,736.17
128,Shreeji Shipping Global Ltd. IPO,2025,758.58,200.68,343.17,31 Mar 2025,141.24,196.55,256.47,610.45
129,Smartworks Coworking Spaces Ltd. IPO,2023,4473.50,424.00,31.47,31 Mar 2023,-101.05,-46.23,515.39,744.07
130,Smartworks Coworking Spaces Ltd. IPO,2024,4147.08,659.67,50.01,31 Mar 2024,-49.96,29.01,427.35,1113.11
131,Smartworks Coworking Spaces Ltd. IPO,2025,4650.85,857.26,107.51,31 Mar 2025,-63.18,4.69,397.77,1409.67
132,Sri Lotus Developers & Realty Ltd. IPO,2023,486.23,20.84,48.36,31 Mar 2023,16.80,28.32,328.93,169.95
133,Sri Lotus Developers & Realty Ltd. IPO,2024,736.81,158.55,169.56,31 Mar 2024,119.14,149.60,428.24,466.19
134,Sri Lotus Developers & Realty Ltd. IPO,2025,1218.60,288.97,932.44,31 Mar 2025,227.89,888.93,122.13,569.28
135,Stallion India Fluorochemicals Ltd. IPO,2023,126.18,,70.7,31 Mar 2023,9.75,,18.27,226.06
136,Stallion India Fluorochemicals Ltd. IPO,2024,203.14,,117.96,31 Mar 2024,14.79,,65.35,236.23
137,Stallion India Fluorochemicals Ltd. IPO,2025,235.69,,134.53,30 Sep 2024,16.57,,81.05,141.53
138,Standard Glass Lining Technology Ltd. IPO,2023,347.79,,156.67,31 Mar 2023,53.42,139.94,81.96,500.08
139,Standard Glass Lining Technology Ltd. IPO,2024,665.38,,409.92,31 Mar 2024,60.01,389.18,129.32,549.68
140,Standard Glass Lining Technology Ltd. IPO,2025,756.52,,447.8,30 Sep 2024,36.27,261.58,173.8,312.1
141,Travel Food Services Ltd. IPO,2023,1332.32,458.05,651.12,31 Mar 2023,251.30,651.60,31.05,1103.58
142,Travel Food Services Ltd. IPO,2024,1696.44,549.99,869.05,31 Mar 2024,298.12,869.74,63.78,1462.40
143,Travel Food Services Ltd. IPO,2025,1902.73,676.35,1048.45,31 Mar 2025,379.66,1040.24,,1762.71
144,Vikram Solar Ltd. IPO,2023,2476.29,186.18,365.20,31 Mar 2023,14.49,113.07,737.79,2091.91
145,Vikram Solar Ltd. IPO,2024,2585.50,398.58,445.42,31 Mar 2024,79.72,192.16,808.33,2523.96
146,Vikram Solar Ltd. IPO,2025,2832.15,492.01,1241.99,31 Mar 2025,139.83,932.60,230.67,3459.53
147,Vikran Engineering Ltd. IPO,2023,712.47,79.71,131.14,31 Mar 2023,42.84,130.85,154.92,529.18
148,Vikran Engineering Ltd. IPO,2024,959.79,133.30,291.28,31 Mar 2024,74.83,290.95,183.39,791.44
149,Vikran Engineering Ltd. IPO,2025,1354.68,160.24,467.87,31 Mar 2025,77.82,449.52,272.94,922.36
